scenario,req_rate,n_paths,min_rate,strategy,outcome,rounds
0,168,1,,accept_first,AGREED,2
1,40,1,10,accept_first,AGREED,2
2,12,1,,stubborn,AGREED,1
3,55,4,,stubborn,REJECTED,3
4,113,3,,accept_first,AGREED,2
5,102,1,,accept_first,AGREED,2
6,191,4,,stubborn,REJECTED,3
7,163,3,,concede,REJECTED,5
8,25,2,22,stubborn,REJECTED,3
9,98,2,,stubborn,REJECTED,3
10,179,1,,accept_first,AGREED,2
11,123,4,,accept_first,AGREED,2
12,13,3,,accept_first,AGREED,2
13,172,4,,stubborn,REJECTED,3
14,148,3,,accept_first,AGREED,2
15,135,4,15,stubborn,REJECTED,3
16,21,4,,stubborn,REJECTED,3
17,142,3,,concede,REJECTED,5
18,5,3,,accept_first,AGREED,1
19,100,2,,concede,REJECTED,5
20,9,1,,accept_first,AGREED,2
21,66,1,,stubborn,REJECTED,3
22,37,2,,stubborn,REJECTED,3
23,160,4,24,stubborn,REJECTED,3
24,171,3,,accept_first,AGREED,2
25,21,3,,accept_first,AGREED,1
26,186,1,,concede,REJECTED,5
27,23,2,,stubborn,REJECTED,3
28,151,4,,stubborn,REJECTED,3
29,115,3,,accept_first,AGREED,2
30,108,3,17,accept_first,AGREED,2
31,113,2,,concede,REJECTED,5
32,145,1,,accept_first,AGREED,2
33,197,2,36,accept_first,REJECTED,1
34,107,1,,concede,REJECTED,5
35,72,4,,accept_first,AGREED,2
36,19,1,,stubborn,REJECTED,3
37,127,2,,accept_first,AGREED,2
38,157,1,,stubborn,REJECTED,3
39,68,1,10,stubborn,REJECTED,3
40,154,3,,concede,REJECTED,5
41,38,3,5,stubborn,REJECTED,3
42,149,1,,stubborn,REJECTED,3
43,72,2,,concede,REJECTED,5
44,45,4,,stubborn,REJECTED,3
45,31,2,,concede,AGREED,3
46,77,2,21,concede,REJECTED,5
47,18,1,,accept_first,AGREED,2
48,90,2,33,stubborn,REJECTED,1
49,7,1,,concede,AGREED,1
50,154,2,,concede,REJECTED,5
51,15,3,27,stubborn,AGREED,1
52,196,2,16,accept_first,AGREED,2
53,50,3,,concede,AGREED,5
54,14,4,,accept_first,AGREED,1
55,11,2,,concede,AGREED,3
56,94,4,,stubborn,REJECTED,3
57,72,1,,stubborn,REJECTED,3
58,85,4,,accept_first,AGREED,2
59,186,4,,stubborn,REJECTED,3
60,89,3,,concede,REJECTED,5
61,183,3,31,stubborn,REJECTED,1
62,196,2,,concede,REJECTED,5
63,78,2,34,concede,REJECTED,1
64,177,2,,concede,REJECTED,5
65,136,3,,accept_first,AGREED,2
66,11,1,,concede,AGREED,1
67,111,2,,accept_first,AGREED,2
68,172,1,,accept_first,AGREED,2
69,183,4,12,accept_first,AGREED,2
70,123,3,40,accept_first,REJECTED,1
71,195,4,22,stubborn,REJECTED,3
72,66,3,,concede,REJECTED,5
73,86,1,,concede,REJECTED,5
74,182,2,31,concede,REJECTED,1
75,143,4,31,stubborn,REJECTED,1
76,183,1,29,accept_first,AGREED,2
77,95,3,,concede,REJECTED,5
78,116,4,,concede,REJECTED,5
79,37,1,,stubborn,REJECTED,3
80,114,2,,concede,REJECTED,5
81,88,2,26,concede,REJECTED,5
82,197,4,,concede,REJECTED,5
83,62,1,,accept_first,AGREED,2
84,10,2,,stubborn,AGREED,1
85,60,4,,concede,REJECTED,5
86,32,1,29,stubborn,REJECTED,3
87,55,1,,stubborn,REJECTED,3
88,82,1,,stubborn,REJECTED,3
89,114,3,5,concede,REJECTED,5
90,32,4,,stubborn,REJECTED,3
91,142,4,,concede,REJECTED,5
92,120,2,,concede,REJECTED,5
93,88,2,,concede,REJECTED,5
94,76,3,,stubborn,REJECTED,3
95,109,4,36,accept_first,REJECTED,1
96,28,3,,concede,AGREED,3
97,146,3,27,concede,REJECTED,5
98,83,3,,stubborn,REJECTED,3
99,142,2,,stubborn,REJECTED,3
100,155,3,,accept_first,AGREED,2
101,82,1,,accept_first,AGREED,2
102,18,3,,concede,AGREED,1
103,127,4,,accept_first,AGREED,2
104,107,4,,accept_first,AGREED,2
105,35,4,,stubborn,REJECTED,3
106,114,3,,concede,REJECTED,5
107,174,1,,stubborn,REJECTED,3
108,24,2,33,concede,REJECTED,1
109,13,2,,stubborn,REJECTED,3
110,64,3,,stubborn,REJECTED,3
111,43,3,,stubborn,REJECTED,3
112,196,3,24,concede,REJECTED,5
113,133,4,,accept_first,AGREED,2
114,28,2,,accept_first,AGREED,1
115,125,4,,concede,REJECTED,5
116,94,4,,concede,REJECTED,5
117,182,4,,concede,REJECTED,5
118,87,1,,stubborn,REJECTED,3
119,143,4,28,stubborn,REJECTED,3
120,118,1,,concede,REJECTED,5
121,117,4,,stubborn,REJECTED,3
122,8,4,,concede,AGREED,1
123,188,3,35,accept_first,REJECTED,1
124,121,2,,accept_first,AGREED,2
125,75,4,,stubborn,REJECTED,3
126,81,4,26,concede,REJECTED,5
127,87,2,19,accept_first,AGREED,2
128,86,4,,stubborn,REJECTED,3
129,156,3,38,accept_first,REJECTED,1
130,189,2,9,concede,REJECTED,5
131,91,4,,stubborn,REJECTED,3
132,22,2,10,accept_first,AGREED,2
133,199,1,,accept_first,AGREED,2
134,16,3,28,accept_first,REJECTED,1
135,67,4,10,stubborn,REJECTED,3
136,179,2,19,stubborn,REJECTED,3
137,70,4,,accept_first,AGREED,2
138,118,3,21,concede,REJECTED,5
139,55,4,,stubborn,REJECTED,3
140,80,1,,stubborn,REJECTED,3
141,180,1,,accept_first,AGREED,2
142,160,3,,stubborn,REJECTED,3
143,170,1,,stubborn,REJECTED,3
144,98,2,25,accept_first,AGREED,2
145,56,2,,accept_first,AGREED,2
146,70,4,,accept_first,AGREED,2
147,178,4,,concede,REJECTED,5
148,142,1,,stubborn,REJECTED,3
149,102,3,,stubborn,REJECTED,3
150,61,1,24,accept_first,AGREED,2
151,40,1,24,accept_first,AGREED,2
152,29,2,29,concede,AGREED,1
153,176,4,11,stubborn,REJECTED,3
154,109,3,33,accept_first,REJECTED,1
155,97,1,,accept_first,AGREED,2
156,106,3,,stubborn,REJECTED,3
157,168,1,,accept_first,AGREED,2
158,149,2,,accept_first,AGREED,2
159,89,2,,accept_first,AGREED,2
160,143,3,,concede,REJECTED,5
161,65,3,,stubborn,REJECTED,3
162,112,1,35,concede,REJECTED,1
163,136,1,,stubborn,REJECTED,3
164,16,3,35,concede,AGREED,1
165,180,1,,accept_first,AGREED,2
166,87,2,,concede,REJECTED,5
167,157,3,,stubborn,REJECTED,3
168,171,2,19,concede,REJECTED,5
169,121,4,,concede,REJECTED,5
170,44,4,,stubborn,REJECTED,3
171,194,3,,stubborn,REJECTED,3
172,36,4,,accept_first,AGREED,2
173,152,2,,concede,REJECTED,5
174,147,3,,stubborn,REJECTED,3
175,173,3,,concede,REJECTED,5
176,6,2,,stubborn,REJECTED,3
177,167,1,,concede,REJECTED,5
178,112,4,,accept_first,AGREED,2
179,44,2,,concede,AGREED,4
180,174,4,,concede,REJECTED,5
181,115,1,,accept_first,AGREED,2
182,61,4,,accept_first,AGREED,2
183,200,3,5,stubborn,REJECTED,3
184,115,2,,stubborn,REJECTED,3
185,148,3,,concede,REJECTED,5
186,24,3,,accept_first,AGREED,2
187,108,1,15,stubborn,REJECTED,3
188,97,1,,concede,REJECTED,5
189,155,4,,accept_first,AGREED,2
190,90,2,,concede,REJECTED,5
191,94,2,,accept_first,AGREED,2
192,49,2,36,stubborn,REJECTED,1
193,199,4,,concede,REJECTED,5
194,118,3,,concede,REJECTED,5
195,123,4,,stubborn,REJECTED,3
196,28,4,,stubborn,AGREED,1
197,126,2,,stubborn,REJECTED,3
198,26,2,33,stubborn,AGREED,1
199,138,2,23,concede,REJECTED,5
200,91,1,,accept_first,AGREED,2
201,147,4,,concede,REJECTED,5
202,84,4,,accept_first,AGREED,2
203,176,1,,accept_first,AGREED,2
204,97,3,,accept_first,AGREED,2
205,40,2,,stubborn,REJECTED,3
206,91,2,,accept_first,AGREED,2
207,182,2,,stubborn,REJECTED,3
208,189,2,,stubborn,REJECTED,3
209,66,3,33,concede,REJECTED,1
210,102,4,,stubborn,REJECTED,3
211,128,3,,accept_first,AGREED,2
212,74,4,19,concede,REJECTED,5
213,11,4,,concede,AGREED,3
214,62,1,,accept_first,AGREED,2
215,40,1,,stubborn,REJECTED,3
216,125,4,,accept_first,AGREED,2
217,145,4,,accept_first,AGREED,2
218,112,4,,stubborn,REJECTED,3
219,136,2,,stubborn,REJECTED,3
220,95,2,,stubborn,REJECTED,3
221,97,1,,concede,REJECTED,5
222,125,1,,stubborn,REJECTED,3
223,9,3,,accept_first,AGREED,2
224,16,3,34,stubborn,REJECTED,1
225,51,2,,accept_first,AGREED,2
226,16,2,24,stubborn,REJECTED,1
227,126,3,,stubborn,REJECTED,3
228,89,3,30,concede,REJECTED,5
229,91,2,,accept_first,AGREED,2
230,191,4,,accept_first,AGREED,2
231,25,3,,stubborn,REJECTED,3
232,118,3,,stubborn,REJECTED,3
233,19,1,,accept_first,AGREED,2
234,41,4,,concede,AGREED,4
235,150,1,14,concede,REJECTED,5
236,100,4,,accept_first,AGREED,2
237,34,1,36,stubborn,REJECTED,1
238,35,3,23,accept_first,AGREED,2
239,36,2,16,accept_first,AGREED,2
240,179,3,,stubborn,REJECTED,3
241,186,2,,accept_first,AGREED,2
242,40,2,,concede,AGREED,3
243,146,2,,concede,REJECTED,5
244,188,4,,concede,REJECTED,5
245,169,1,,accept_first,AGREED,2
246,146,2,,accept_first,AGREED,2
247,137,2,,stubborn,REJECTED,3
248,62,3,,stubborn,REJECTED,3
249,146,3,,stubborn,REJECTED,3
250,153,2,,accept_first,AGREED,2
251,16,3,,stubborn,REJECTED,3
252,82,4,,accept_first,AGREED,2
