operation,n,mean_ms,median_ms,stdev_ms,min_ms,p95_ms,p99_ms,max_ms
10_e2e_handshake,1000,0.6692,0.6282,0.1482,0.5763,1.1139,1.2022,2.5977
1_keygen,1000,0.0525,0.0486,0.0108,0.0478,0.0801,0.0986,0.119
2_did_register,1000,0.0584,0.053,0.0149,0.0506,0.0903,0.1223,0.1747
3_vc_issue,1000,0.0693,0.0637,0.0141,0.0594,0.1027,0.1268,0.1656
4_vc_verify,1000,0.1742,0.1633,0.0218,0.1575,0.2159,0.2596,0.3038
5_intent_sign,1000,0.0597,0.0479,0.0198,0.0466,0.0938,0.1343,0.2006
6_intent_verify,1000,0.1773,0.1643,0.0616,0.1589,0.2211,0.2477,1.991
7_negotiate,1000,0.0029,0.0026,0.0027,0.0025,0.0027,0.0247,0.0339
8_token_issue,1000,0.0549,0.0501,0.0117,0.049,0.0843,0.1029,0.1263
9_token_verify,1000,0.1356,0.1256,0.0199,0.1235,0.1802,0.211,0.2467
